"Reference","Value","Qty","Mfr_Number","Supplier","Supplier_Number"
"C1,C2,C4,C10","10uF","4","C0603C106M9PAC","Mouser","80-C0603C106M9PAC"
"C3,C5,C6,C7,C8,C9,C11,C14","0.1uF","8","C0603C104K5RAC3121","Mouser","80-C603C104K5RAC3121"
"C12,C13","100p","2"," C0603C101J1GAC7411","Mouser","80-C0603C101J1GACLR"
"C15","4.7n","1"," C0603C472J5GACTU","Mouser","80-C0603C472J5G"
"D1,D4","SK14","2","SK14","Mouser","637-SK14"
"D2","TPD4E02B04DQAR","1","TPD4E02B04DQAR","Mouser","595-TPD4E02B04DQAR"
"D3","150060RS75000","1","150060RS75000","Mouser","710-150060RS75000"
"D5","150060RS75000","1","150060VS75000","Mouser","710-150060VS75000"
"D6","SZNUP2105LT1G","1","SZNUP2105LT1G","Mouser","863-SZNUP2105LT1G"
"IC1","LM1117MPX-3.3_NOPB","1","LM1117MPX-3.3/NOPB","Mouser","926-LM1117MPX3.3NOPB"
"IC2","SN65HVD232DR","1","SN65HVD232DR","Mouser","595-SN65HVD232DR"
"J1","USB4105-GF-A","1","USB4105-GF-A-120","Mouser","640-USB4105-GF-A-120"
"J2","5-12V","1","1190297","Mouser","651-1190297"
"J3,J4,J7,J8","-- mixed values --","4","705430002","Mouser","538-70543-0002"
"J5","FTDI","1","M20-9990446","Mouser","855-M20-9990446"
"J6","EXT","1","TSW-102-07-T-S","Mouser","200-TSW10207TS"
"R1,R2","5.1k","2","CRCW06035K10FKEA","Mouser","71-CRCW0603-5.1K-E3"
"R3,R9","100","2"," CRCW0603100RFKEA","Mouser","71-CRCW0603-100-E3"
"R4,R5,R6,R7,R8","10k","5","CRCW060310K0FKEA","Mouser","71-CRCW0603-10K-E3"
"R10,R11","60","2","CRCW120660R0KNAIF","Mouser","71-CRCW120660R0KNAIF"
"R12","120","1"," CRCW0603120RFKEA","Mouser","71-CRCW0603-120-E3"
"S1,S2,S3","-- mixed values --","3","PTS636 SKG25J SMTR LFS","Mouser","611-PTS636SKG25JSMTR"
"S4","E-Stop","1","FSM4JH","Mouser","506-FSM4JH"
"U1","ESP32-S3-WROOM-1-N8","1","ESP32-S3-WROOM-1-N8","Mouser","356-ESP32-S3WROOM1N8"
